title,imdb_id,year,rating,vote_count,duration_min,genres,plot,url
WALL·E,tt0910970,2008,8.4,1300000,,,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",https://www.imdb.com/title/tt0910970/?ref_=sr_t_88
Coco,tt2380307,2017,8.4,703000,,,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",https://www.imdb.com/title/tt2380307/?ref_=sr_t_89
3 Idiots,tt1187043,2009,8.4,480000,,,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",https://www.imdb.com/title/tt1187043/?ref_=sr_t_90
Capernaum,tt8267604,2018,8.4,124000,,,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",https://www.imdb.com/title/tt8267604/?ref_=sr_t_91
Sunset Boulevard,tt0043014,1950,8.4,261000,,,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,https://www.imdb.com/title/tt0043014/?ref_=sr_t_92
Witness for the Prosecution,tt0051201,1957,8.4,161000,,,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,https://www.imdb.com/title/tt0051201/?ref_=sr_t_93
Paths of Glory,tt0050825,1957,8.4,238000,,,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,https://www.imdb.com/title/tt0050825/?ref_=sr_t_94
High and Low,tt0057565,1963,8.4,71000,,,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,https://www.imdb.com/title/tt0057565/?ref_=sr_t_95
The Best of Youth,tt0346336,2003,8.4,28000,,,An Italian epic that follows the lives of two brothers from the 1960s to the 2000s.,https://www.imdb.com/title/tt0346336/?ref_=sr_t_96
The Great Dictator,tt0032553,1940,8.4,259000,,,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,https://www.imdb.com/title/tt0032553/?ref_=sr_t_97
The Chaos Class Failed the Class,tt0252488,1975,8.4,30000,,,"A group of students have failed their exams and must return for another year. Distracting them all is a new young female teacher, who they try out their usual tricks on.",https://www.imdb.com/title/tt0252488/?ref_=sr_t_98
Kaithi,tt9900782,2019,8.4,51000,,,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",https://www.imdb.com/title/tt9900782/?ref_=sr_t_99
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,tt16492678,2021,8.4,36000,,,Tanjiro ventures to the south-southeast where he encounters a cowardly young man named Zenitsu Agatsuma. He is a fellow survivor from Final Selection and his sparrow asks Tanjiro to help keep him in line.,https://www.imdb.com/title/tt16492678/?ref_=sr_t_100
Asuran,tt9477520,2019,8.4,37000,,,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story.",https://www.imdb.com/title/tt9477520/?ref_=sr_t_101
Drishyam 2,tt12361178,2021,8.4,45000,,,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,https://www.imdb.com/title/tt12361178/?ref_=sr_t_102
Anniyan,tt0376127,2005,8.4,26000,,,"Ramanujam, who suffers from multiple personality disorder, works as a lawyer by day and a vigilante at night, using tips from the 'Garuda Purana' as his tools to punish various antisocial elements.",https://www.imdb.com/title/tt0376127/?ref_=sr_t_103
Drishyam,tt3417422,2013,8.4,48000,,,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,https://www.imdb.com/title/tt3417422/?ref_=sr_t_104
Dhurandhar,tt33014583,2025,8.3,134000,,,"A mysterious traveler slips into the heart of Karachi's underbelly and rises through its ranks with lethal precision, only to tear the notorious ISI-Underworld nexus apart from within.",https://www.imdb.com/title/tt33014583/?ref_=sr_t_105
Heat,tt0113277,1995,8.3,800000,,,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,https://www.imdb.com/title/tt0113277/?ref_=sr_t_106
Oldboy,tt0364569,2003,8.3,715000,,,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",https://www.imdb.com/title/tt0364569/?ref_=sr_t_107
Eternal Sunshine of the Spotless Mind,tt0338013,2004,8.3,1200000,,,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",https://www.imdb.com/title/tt0338013/?ref_=sr_t_108
Requiem for a Dream,tt0180093,2000,8.3,971000,,,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,https://www.imdb.com/title/tt0180093/?ref_=sr_t_109
Incendies,tt1255953,2010,8.3,249000,,,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,https://www.imdb.com/title/tt1255953/?ref_=sr_t_110
2001: A Space Odyssey,tt0062622,1968,8.3,781000,,,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",https://www.imdb.com/title/tt0062622/?ref_=sr_t_111
The Hunt,tt2106476,2012,8.3,408000,,,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",https://www.imdb.com/title/tt2106476/?ref_=sr_t_112
Joker,tt7286456,2019,8.3,1700000,,,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.",https://www.imdb.com/title/tt7286456/?ref_=sr_t_113
Scarface,tt0086250,1983,8.3,1000000,,,"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction.",https://www.imdb.com/title/tt0086250/?ref_=sr_t_114
Amélie,tt0211915,2001,8.3,838000,,,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",https://www.imdb.com/title/tt0211915/?ref_=sr_t_115
Toy Story,tt0114709,1995,8.3,1200000,,,"A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him.",https://www.imdb.com/title/tt0114709/?ref_=sr_t_116
Braveheart,tt0112573,1995,8.3,1200000,,,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,https://www.imdb.com/title/tt0112573/?ref_=sr_t_117
Reservoir Dogs,tt0105236,1992,8.3,1200000,,,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",https://www.imdb.com/title/tt0105236/?ref_=sr_t_118
American Beauty,tt0169547,1999,8.3,1300000,,,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,https://www.imdb.com/title/tt0169547/?ref_=sr_t_119
Come and See,tt0091251,1985,8.3,122000,,,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",https://www.imdb.com/title/tt0091251/?ref_=sr_t_120
